[https] safetyhub.paypal.com:443
[https] sandbox.paypal.com:443
[https] securecards.paypal.com:443
[https] securepayments.paypal.com:443
[https] securepayments.sandbox.paypal.com:443
[https] securepayments-v2.sandbox.paypal.com:443
[https] secure.uninitialized.real.paypal.com:443
[https] SECURE.UNINITIALIZED.REAL.paypal.com:443
[https] shopping.paypal.com:443
[https] sip.paypal.com:443
[https] slc2.stats.paypal.com:443
[https] slc-a-origin-history-1.paypal.com:443
[https] slc-a-origin-history-2.paypal.com:443
[https] slc-a-origin-history.paypal.com:443
[https] slc-a-origin-pointofsale.paypal.com:443
[https] slc-b-origin-history-1.paypal.com:443
[https] slc-b-origin-history-2.paypal.com:443
[https] slc-b-origin-history.paypal.com:443
[https] slc-b-origin-pointofsale.paypal.com:443
[https] slc.stats.paypal.com:443
[https] smsapi.paypal.com:443
[https] stage-api.edge.paypal.com:443
[https] stage-api-m.edge.paypal.com:443
[https] stage-www.edge.paypal.com:443
[https] stats.glb.paypal.com:443
[https] status.paypal.com:443
[https] svcs.glb.paypal.com:443
[https] svcs.paypal.com:443
[https] svcs.sandbox.paypal.com:443
[https] svcs-v2.sandbox.paypal.com:443
[http] stage-api.edge.paypal.com:80
[http] stage-api-m.edge.paypal.com:80
[http] stage-www.edge.paypal.com:80
[http] status.paypal.com:80
[https] t-fastly.glb.paypal.com:443
[https] t.glb.paypal.com:443
[https] t.paypal.com:443
[https] trinityadminauth.phx.paypal.com:443
[https] tsp.paypal.com:443
[https] tsp.stage.paypal.com:443
[https] uptycshap.paypal.com:443
[https] uptycshon.paypal.com:443
[https] uptycsize.paypal.com:443
[https] uptycspay.paypal.com:443
[https] uptycsven.paypal.com:443
[http] svcs.glb.paypal.com:80
[http] svcs.paypal.com:80
[http] svcs.sandbox.paypal.com:80
[http] svcs-v2.sandbox.paypal.com:80
[https] view.emails.paypal.com:443
[https] www-edge.glb.paypal.com:443
[https] www-fastly.glb.paypal.com:443
[https] www.glb.paypal.com:443
[https] www.paypal.com:443
[https] www-ru.glb.paypal.com:443
[https] www.sandbox.paypal.com:443
[https] www-v2.sandbox.paypal.com:443
[https] xml-reg.paypal.com:443
[https] zettleintegrations.paypal.com:443
[https] zootapi.paypal.com:443
[http] t-fastly.glb.paypal.com:80
[http] t.glb.paypal.com:80
[http] t.paypal.com:80
[http] tsp.paypal.com:80
[http] uptycshap.paypal.com:80
[http] uptycshon.paypal.com:80
[http] uptycsize.paypal.com:80
[http] uptycspay.paypal.com:80
[http] uptycsven.paypal.com:80
[http] view.emails.paypal.com:80
[http] www-edge.glb.paypal.com:80
[http] www-fastly.glb.paypal.com:80
[http] www.glb.paypal.com:80
[http] www.paypal.com:80
[http] www-ru.glb.paypal.com:80
[http] www.sandbox.paypal.com:80
[http] www-v2.sandbox.paypal.com:80
[http] xml-reg.paypal.com:80
[http] zettleintegrations.paypal.com:80
[http] zootapi.paypal.com:80
[ies-lm] partner-monitoring.paypal.com:1443
[imap] partner-monitoring.paypal.com:143
[imaps] partner-monitoring.paypal.com:993
[jetdirect] partner-monitoring.paypal.com:9100
[memcache] partner-monitoring.paypal.com:11211
[mit-ml-dev] partner-monitoring.paypal.com:83
[mit-ml-dev] partner-monitoring.paypal.com:85
