[] locker.lazada.sg:8139
[] locker.lazada.sg:9530
[micromuse-ncpw] locker.lazada.sg:9600
[mit-ml-dev] locker.lazada.sg:83
[ms-sql-s] locker.lazada.sg:1433
[ms-wbt-server] locker.lazada.sg:3389
[neo4j] locker.lazada.sg:7474
[nessus] locker.lazada.sg:3001
[nessus-xmlrpc] locker.lazada.sg:8834
[netbus] locker.lazada.sg:12345
[opsmessaging] locker.lazada.sg:8090
[oracleas-https] locker.lazada.sg:7443
[oracle] locker.lazada.sg:1521
[pharos] locker.lazada.sg:4443
[pichat] locker.lazada.sg:9009
[powerexchange] locker.lazada.sg:2480
[ppp] locker.lazada.sg:3000
[puppet] locker.lazada.sg:8140
[quickbooksrds] locker.lazada.sg:3790
[radsec] locker.lazada.sg:2083
[rtmp] er.lazada.sg:1935
[rtmp] er-p.lazada.sg:1935
[rtmp] er-search.lazada.sg:1935
[rtmp] filebroker-cdn.lazada.sg:1935
[rtmp] gcp-er.lazada.sg:1935
[rtmp] i.lazada.sg:1935
[rtmp] locker.lazada.sg:1935
[rtmp] m.lazada.sg:1935
[rtmp] pform.lazada.sg:1935
[rtmp] pre-gcp-er.lazada.sg:1935
[rtmp] tbaldb.lazada.sg:1935
[rtmp] tbassets.lazada.sg:1935
[rtmp] tbimg.lazada.sg:1935
[rtmp] tbpage.lazada.sg:1935
[rtsp] locker.lazada.sg:554
[sae-urn] locker.lazada.sg:4500
[saprouter] locker.lazada.sg:3299
[scp-config] locker.lazada.sg:10001
[snet-sensor-mgmt] locker.lazada.sg:10000
[snpp] locker.lazada.sg:444
[sun-answerbook] locker.lazada.sg:8888
[sun-as-jpda] locker.lazada.sg:9191
[sun-sr-https] locker.lazada.sg:6443
[sunwebadmin] locker.lazada.sg:8800
[telelpathstart] locker.lazada.sg:5010
[tidp] locker.lazada.sg:7548
[tor-orport] locker.lazada.sg:9001
[tram] locker.lazada.sg:4567
[trivnet1] locker.lazada.sg:8200
[tungsten-https] locker.lazada.sg:9443
[unknown] er.lazada.sg:843
[unknown] er-p.lazada.sg:843
[unknown] er-search.lazada.sg:843
[unknown] filebroker-cdn.lazada.sg:843
[unknown] gcp-er.lazada.sg:843
[unknown] i.lazada.sg:843
[unknown] locker.lazada.sg:10443
[unknown] locker.lazada.sg:50050
[unknown] locker.lazada.sg:8089
[unknown] locker.lazada.sg:8098
[unknown] locker.lazada.sg:9943
[unknown] m.lazada.sg:843
[unknown] pform.lazada.sg:843
[unknown] pre-gcp-er.lazada.sg:843
[unknown] tbaldb.lazada.sg:843
[unknown] tbassets.lazada.sg:843
[unknown] tbimg.lazada.sg:843
[unknown] tbpage.lazada.sg:843
[upnp] locker.lazada.sg:5000
[us-srv] locker.lazada.sg:8083
[vcom-tunnel] locker.lazada.sg:8001
[vnc-1] locker.lazada.sg:5901
[vnc-http] locker.lazada.sg:5800
[vnc] locker.lazada.sg:5900
[vstat] locker.lazada.sg:7779
[wap-wsp] locker.lazada.sg:9200
[wsman] locker.lazada.sg:5985
[wsmans] locker.lazada.sg:5986
[wsm-server] locker.lazada.sg:5006
[wsm-server-ssl] locker.lazada.sg:5007
[X11:1] locker.lazada.sg:6001
[X11] locker.lazada.sg:6000
[xfer] locker.lazada.sg:82
[xmpp-client] locker.lazada.sg:5222
[xmpp] locker.lazada.sg:8010
[xmpp-server] locker.lazada.sg:5269
[yo-main] locker.lazada.sg:4040
[zeus-admin] locker.lazada.sg:9090
