[https] ie1-frc.paddypower.com:443
[https] ie1-gap.paddypower.com:443
[https] ie1-gfe.paddypower.com:443
[https] ie1-gwb.paddypower.com:443
[https] ie1-hlppp.paddypower.com:443
[https] ie1-identitysso.paddypower.com:443
[https] ie1-ips.paddypower.com:443
[https] ie1-maintenance.paddypower.com:443
[https] ie1-mgw.paddypower.com:443
[https] ie1-myaccount.paddypower.com:443
[https] ie1-myactivity.paddypower.com:443
[https] ie1-myfunds.paddypower.com:443
[https] ie1-pacpp.paddypower.com:443
[https] ie1-pcmspp.paddypower.com:443
[https] ie1-promos.paddypower.com:443
[https] ie1-rdr.paddypower.com:443
[https] ie1-register.paddypower.com:443
[https] ie1-sib.paddypower.com:443
[https] ie1-smp.paddypower.com:443
[https] ie1-spb.paddypower.com:443
[https] ie1-ssc.paddypower.com:443
[https] ie1-strands.paddypower.com:443
[https] ie1-usp.paddypower.com:443
[https] ie1-vqa.paddypower.com:443
[https] ie1-was.paddypower.com:443
[https] ie1-ws.paddypower.com:443
[https] ie1-www.paddypower.com:443
[https] ie2-bgi.paddypower.com:443
[https] ie2-bts.paddypower.com:443
[https] ie2-fcq.paddypower.com:443
[https] ie2-gap.paddypower.com:443
[https] ie2-gfe.paddypower.com:443
[https] ie2-gwb.paddypower.com:443
[https] ie2-hlppp.paddypower.com:443
[https] ie2-identitysso.paddypower.com:443
[https] ie2-ips.paddypower.com:443
[https] ie2-maintenance.paddypower.com:443
[https] ie2-mgasbpp.paddypower.com:443
[https] ie2-mgw.paddypower.com:443
[https] ie2-myaccount.paddypower.com:443
[https] ie2-myactivity.paddypower.com:443
[https] ie2-myfunds.paddypower.com:443
[https] ie2-pacpp.paddypower.com:443
[https] ie2-pcmspp.paddypower.com:443
[https] ie2-promos.paddypower.com:443
[https] ie2-rdr.paddypower.com:443
[https] ie2-register.paddypower.com:443
[https] ie2-sib.paddypower.com:443
[https] ie2-smp.paddypower.com:443
[https] ie2-smsiospp.paddypower.com:443
[https] ie2-spb.paddypower.com:443
[https] ie2-strands.paddypower.com:443
[https] ie2-was.paddypower.com:443
[https] ie2-ws.paddypower.com:443
[https] ie2-www.paddypower.com:443
[https] images.paddypower.com:443
[https] ips.lb.paddypower.com:443
[https] ips.paddypower.com:443
[https] launcher.paddypower.com:443
[https] links.paddypower.com:443
[https] livecasino.paddypower.com:443
[https] locator.paddypower.com:443
[https] maintenance.lb.paddypower.com:443
[https] maintenance.paddypower.com:443
[https] mbingo.paddypower.com:443
[https] mcasino.paddypower.com:443
[https] media.paddypower.com:443
[https] meet.paddypower.com:443
[https] messaging.paddypower.com:443
[https] mga.paddypower.com:443
[https] mgasbpp.lb.paddypower.com:443
[https] mgw.lb.paddypower.com:443
[https] mgw.paddypower.com:443
[https] m.mails.paddypower.com:443
[http] smp.lb.paddypower.com:80
[https] mpoker.paddypower.com:443
[http] smp.paddypower.com:80
[http] smsiospp.lb.paddypower.com:80
[https] myaccount.lb.paddypower.com:443
[https] myaccount.paddypower.com:443
[https] myactivity.lb.paddypower.com:443
[https] myactivity.paddypower.com:443
[https] mycards.paddypower.com:443
[https] myfunds.lb.paddypower.com:443
[https] myfunds.paddypower.com:443
[https] mypromos.paddypower.com:443
[https] news.paddypower.com:443
[https] osg.paddypower.com:443
[https] pacpp.lb.paddypower.com:443
[https] paddypower.com:443
[https] partnerships.paddypower.com:443
[http] spb.lb.paddypower.com:80
[http] spb.paddypower.com:80
[https] pcmspp.lb.paddypower.com:443
[https] pcmspp.paddypower.com:443
[http] splash.paddypower.com:80
[https] playerhistory.paddypower.com:443
[https] playerprotection.paddypower.com:443
[https] playersclub.paddypower.com:443
[https] play.paddypower.com:443
[https] poker.paddypower.com:443
[http] sportsbook-api.paddypower.com:80
[http] sportsgaming.paddypower.com:80
[https] promos.lb.paddypower.com:443
[https] promos.paddypower.com:443
[https] promotions.paddypower.com:443
[https] push-subscription.paddypower.com:443
[https] rdr.lb.paddypower.com:443
[https] rdr.paddypower.com:443
[https] redirect.paddypower.com:443
[https] register.lb.paddypower.com:443
[https] register.paddypower.com:443
[https] regstat.paddypower.com:443
[https] retailpartner.paddypower.com:443
[https] rgi.paddypower.com:443
[https] rt1-m.auto.paddypower.com:443
[https] rt1-t.auto.paddypower.com:443
[https] rt2-m.auto.paddypower.com:443
[https] rt2-t.auto.paddypower.com:443
[https] rt3-m.auto.paddypower.com:443
[https] rt3-t.auto.paddypower.com:443
[https] rt4-m.auto.paddypower.com:443
[https] rt4-t.auto.paddypower.com:443
[https] rt5-m.auto.paddypower.com:443
[https] rt5-t.auto.paddypower.com:443
[https] rt6-m.auto.paddypower.com:443
[https] rt6-t.auto.paddypower.com:443
[https] sco.paddypower.com:443
[http] ssc.paddypower.com:80
