[afs3-bos] uat-ext-gw.lahitapiola.fi:7007
[rsftp] vuokra-asunnot.lahitapiola.fi:26
[rsftp] www.toimitilat.lahitapiola.fi:26
[sip-tls] sip.lahitapiola.fi:5061
[smtp] autodiscover.lahitapiola.fi:25
[smtp] hybridsmtp.lahitapiola.fi:25
[smtp] mmail.lahitapiola.fi:25
[smtp] oa.lahitapiola.fi:25
[smtp] secure.lahitapiola.fi:25
[smtp] yrityksenomatalous.lahitapiola.fi:25
[ssh] asunnot.lahitapiola.fi:22
[ssh] pulssi.lahitapiola.fi:22
[vmsvc-2] uat-ext-gw.lahitapiola.fi:7025
