[https] cdn1.epicgames.com:443
[https] cdn2.epicgames.com:443
[https] cdn4.epicgames.com:443
[https] cdn-dev.prm.ol.epicgames.com:443
[https] cdn-live.prm.ol.epicgames.com:443
[https] cdn.prm.epicgames.com:443
[https] china-cdn1.epicgames.com:443
[https] china-media-cdn.epicgames.com:443
[https] china-static-assets-prod.epicgames.com:443
[https] click.news.epicgames.com:443
[https] coderedemption-public-service-prod.ol.epicgames.com:443
[https] coderedemption-public-service-prod-origin.ak.epicgames.com:443
[https] communications-service-prod06.ol.epicgames.com:443
[https] connect.ol.epicgames.com:443
[https] cooked-content-gamedev-cdn.epicgames.com:443
[https] cooked-content-live-cdn.epicgames.com:443
[https] create-epic-kitt-react.fnsocial.on.epicgames.com:443
[https] data-asset-directory-public-service-prod.ol.epicgames.com:443
[https] data-asset-directory-public-service-stage.ol.epicgames.com:443
[https] datarouter-mobile.ol.epicgames.com:443
[https] datarouter.ol.epicgames.com:443
[https] datarouter-prod.ak.epicgames.com:443
[https] datarouter-public-service-prod06.ol.epicgames.com:443
[https] datarouter-weighted.ol.epicgames.com:443
[https] datastorage-public-service-liveegs.live.use1a.on.epicgames.com:443
[https] datastorage-public-service-liveeos.ol.epicgames.com:443
[https] datastorage-public-service-live.ol.epicgames.com:443
[https] datastorage-public-service-prod.ol.epicgames.com:443
[https] detroitlabs.epicgames.com:443
[https] dev-config-querier.infosec.on.epicgames.com:443
[https] developerprivacy-public-service-prod.ol.epicgames.com:443
[https] dev.epicgames.com:443
[https] dev.fcfd.live.use1a.on.epicgames.com:443
[https] devs.epicgames.com:443
[https] dl.substrate.on.epicgames.com:443
[https] docs.epicgames.com:443
[https] docs.pipeline.epicgames.com:443
[https] download2.epicgames.com:443
[https] download3.epicgames.com:443
[https] download4.epicgames.com:443
[https] download.epicgames.com:443
[https] ec28424b-ba1e-4b96-240e-6ee60a34423b-us-east-1.rtcp.on.epicgames.com:443
[https] ec2eaacb-e193-c703-95de-3e6cf572f04c-ap-southeast-1.rtcp.on.epicgames.com:443
[https] ec2f65c0-3f7d-b044-7f74-8e8ce8d5fc63-us-east-1.rtcp.on.epicgames.com:443
[https] ecommerceintegration-public-service-ecomprod02.ol.epicgames.com:443
[https] ecosec.on.epicgames.com:443
[https] eg.epicgames.com:443
[https] egp-idsoc-proxy-prod.ol.epicgames.com:443
[https] engineering.epicgames.com:443
[https] entitlement-public-service-prod08.ol.epicgames.com:443
[https] entitlement-public-service-prod.ak.epicgames.com:443
