[https] videoplayer.betfair.ro:443
[https] vqa.betfair.ro:443
[https] was.betfair.ro:443
[https] wss.betfair.ro:443
[https] www.betfair.ro:443
[http] t.betfair.ro:80
[http] t.mail.betfair.ro:80
[http] uk-api.betfair.ro:80
[http] upload.betfair.ro:80
[http] usp.betfair.ro:80
[http] vegas.betfair.ro:80
[http] videoplayer.betfair.ro:80
[http] vqa.betfair.ro:80
[http] was.betfair.ro:80
[http] wss.betfair.ro:80
[http] www.betfair.ro:80
[infowave] betfair.ro:2082
[radsec] betfair.ro:2083
