[https] registration.lab.digitalsecurity.telenet.be:443
[https] reputation.int.digitalsecurity.telenet.be:443
[https] reputation.lab.digitalsecurity.telenet.be:443
[https] reputation.prd.digitalsecurity.telenet.be:443
[https] reroutingmngr.telenet.be:443
[https] safespot.telenet.be:443
[https] schoolnet.telenet.be:443
[https] searchapi.telenet.be:443
[https] selfstarter.telenet.be:443
[https] serviceclient.telenet.be:443
[https] services.telenet.be:443
[https] shop.telenet.be:443
[https] sis.telenet.be:443
[https] slr.dev.entertainment-tools-dev.awscloud.external.telenet.be:443
[https] slr.local.entertainment-tools-dev.awscloud.external.telenet.be:443
[https] slr.prod.entertainment-tools-prod.awscloud.external.telenet.be:443
[https] smartvisitor.connect.telenet.be:443
[https] smb.telenet.be:443
[https] speedtest.telenet.be:443
[https] splhefvip.cmt.connect.telenet.be:443
[https] static-a.telenet.be:443
[https] static-b.telenet.be:443
[https] static-c.telenet.be:443
[https] static-d.telenet.be:443
[https] sup.tv.telenet.be:443
[https] talks.telenet.be:443
[http] static-a.telenet.be:80
[http] static-b.telenet.be:80
[http] static-c.telenet.be:80
[http] static-d.telenet.be:80
[https] telegate.telenet.be:443
[https] test-tribe.nonprod.awscloud.external.telenet.be:443
[https] tip.telenet.be:443
[https] toestellen.telenet.be:443
[https] tv.telenet.be:443
[https] uag.connect.telenet.be:443
[https] uat.tv.telenet.be:443
[https] vmapi.prd.connect.telenet.be:443
[https] vmis.prd.connect.telenet.be:443
[https] webmail.telenet.be:443
[https] wifiportal.telenet.be:443
[https] wsproxy.lab.digitalsecurity.telenet.be:443
[https] www2.telenet.be:443
[https] www.local.slr.entertainment-tools-dev.awscloud.external.telenet.be:443
[https] www.maut.telenet.be:443
[https] www.slr.dev.entertainment-tools-dev.awscloud.external.telenet.be:443
[https] www.slr.local.entertainment-tools-dev.awscloud.external.telenet.be:443
[https] www.slr.prod.entertainment-tools-prod.awscloud.external.telenet.be:443
[https] www.telenet.be:443
[http] talks.telenet.be:80
[http] telegate.telenet.be:80
[http] tip.telenet.be:80
[http] toestellen.telenet.be:80
[http] webmail.telenet.be:80
[http] wifiportal.telenet.be:80
[http] www2.telenet.be:80
[http] www.local.slr.entertainment-tools-dev.awscloud.external.telenet.be:80
[http] www.maut.telenet.be:80
[http] www.slr.dev.entertainment-tools-dev.awscloud.external.telenet.be:80
[http] www.slr.local.entertainment-tools-dev.awscloud.external.telenet.be:80
[http] www.slr.prod.entertainment-tools-prod.awscloud.external.telenet.be:80
[http] www.telenet.be:80
[imap] imap.telenet.be:143
[imap] in.telenet.be:143
[imap] mail-in.telenet.be:143
[imap] pop.telenet.be:143
[imaps] imap.telenet.be:993
[imaps] in.telenet.be:993
[imaps] mail-in.telenet.be:993
[imaps] pop.telenet.be:993
[infowave] press.telenet.be:2082
[infowave] www.maut.telenet.be:2082
[knetd] talks.telenet.be:2053
[knetd] www.maut.telenet.be:2053
[mysql] mysql06.cloud.telenet.be:3306
[nbx-dir] www.maut.telenet.be:2096
[nbx-ser] talks.telenet.be:2095
[pop3] imap.telenet.be:110
[pop3] in.telenet.be:110
[pop3] mail-in.telenet.be:110
[pop3] pop.telenet.be:110
[pop3s] imap.telenet.be:995
[pop3s] in.telenet.be:995
[pop3s] mail-in.telenet.be:995
[pop3s] pop.telenet.be:995
[radan-http] splhefvip.cmt.connect.telenet.be:8088
[radan-http] splk-hf-lb.cloud.telenet.be:8088
[radsec] press.telenet.be:2083
[radsec] talks.telenet.be:2083
[radsec] www.maut.telenet.be:2083
[scp-config] directrouting.int.centrex.telenet.be:10001
[sip] global1.int.centrex.telenet.be:5060
[sip-tls] access.int.centrex.telenet.be:5061
[sip-tls] global1.int.centrex.telenet.be:5061
[smtp] smtp.staff.telenet.be:25
[ssh] apache55.cloud.telenet.be:22
[ssh] kotnet.telenet.be:22
[ssh] mijncms.telenet.be:22
[ssh] mybusinessphone.telenet.be:22
[ssh] netaanleg.telenet.be:22
[ssh] ordertool.telenet.be:22
[ssh] shop.telenet.be:22
[ssh] static-a.telenet.be:22
[ssh] static-b.telenet.be:22
[ssh] static-c.telenet.be:22
[ssh] static-d.telenet.be:22
[unknown] sis.telenet.be:8045
[unknown] splhefvip.cmt.connect.telenet.be:8089
[xinupageserver] horizonapps.connect.telenet.be:2020
[xinupageserver] horizonapps.uat.connect.telenet.be:2020
[xinupageserver] horizonvdi.connect.telenet.be:2020
[xmpp] sis.telenet.be:8010
