[https] rapidfirepublish.svc.c.ue1az.gotinder.com:443
[https] rapidfirepublish.svc.d.ue1az.gotinder.com:443
[https] select.gotinder.com:443
[https] sp.gotinder.com:443
[https] static-assets.gotinder.com:443
[https] story-assets.gotinder.com:443
[https] story-assets.staging1.gotinder.com:443
[https] story-assets.staging3.gotinder.com:443
[https] superlikeable.gotinder.com:443
[https] swipedright.gotinder.com:443
[http] static-assets.gotinder.com:80
[https] tech.gotinder.com:443
[https] test081719.gotinder.com:443
[https] testing.staging1.gotinder.com:443
[https] testing-utk.staging1.gotinder.com:443
[http] story-assets.gotinder.com:80
[http] story-assets.staging1.gotinder.com:80
[http] story-assets.staging3.gotinder.com:80
[https] tspdemo.gotinder.com:443
[https] utkarsh-global-test.staging-membership.gotinder.com:443
[https] web.a.ue1az.gotinder.com:443
[https] web.b.ue1az.gotinder.com:443
[https] web.c.ue1az.gotinder.com:443
[https] web.d.ue1az.gotinder.com:443
[https] webpxy.gotinder.com:443
[https] website-api.gotinder.com:443
[http] swipedright.gotinder.com:80
[https] www.gotinder.com:443
[http] tech.gotinder.com:80
[http] test081719.gotinder.com:80
[http] testing.staging1.gotinder.com:80
[http] testing-utk.staging1.gotinder.com:80
[http] tspdemo.gotinder.com:80
[http] utkarsh-global-test.staging-membership.gotinder.com:80
[http] web.a.ue1az.gotinder.com:80
[http] web.b.ue1az.gotinder.com:80
[http] web.c.ue1az.gotinder.com:80
[http] web.d.ue1az.gotinder.com:80
[http] webpxy.gotinder.com:80
[http] website-api.gotinder.com:80
[http] www.gotinder.com:80
[ies-lm] email.gotinder.com:1443
[imap] email.gotinder.com:143
[imaps] email.gotinder.com:993
[jetdirect] email.gotinder.com:9100
[mit-ml-dev] email.gotinder.com:83
[mit-ml-dev] email.gotinder.com:85
[ms-wbt-server] email.gotinder.com:3389
[ncd-conf] email.gotinder.com:5999
[ndmps] email.gotinder.com:30000
[opsmessaging] email.gotinder.com:8090
[pop3] email.gotinder.com:110
[pop3s] email.gotinder.com:995
[postgresql] email.gotinder.com:5432
[radan-http] email.gotinder.com:8088
[rtmp] email.gotinder.com:1935
[smtp] email.gotinder.com:25
[smtps] email.gotinder.com:465
[submission] email.gotinder.com:587
[su-mit-tg] email.gotinder.com:89
[unknown] email.gotinder.com:8085
[unknown] email.gotinder.com:8089
[unknown] email.gotinder.com:8099
[vnc-1] email.gotinder.com:5901
[vnc] email.gotinder.com:5900
[wap-wsp] email.gotinder.com:9200
[webobjects] email.gotinder.com:1085
[whois] email.gotinder.com:43
[xmpp-client] email.gotinder.com:5222
